process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
ipf_helper.exe,1677572,13070336,12013568,139384,137912,14344,12440,2428928,2945024
nvcontainer.exe,420142,114204672,86700032,611528,422296,3206840,47824,58232832,72876032
Razer Synapse Service Process.exe,392349,68460544,63430656,581616,561904,94496,59880,44126208,44867584
sihost.exe,28473,53518336,48791552,423320,375984,41744,23664,8605696,10272768
svchost.exe,14290,45465600,29908992,269056,238280,59472,18536,9146368,11988992
svchost.exe,4331,11780096,10371072,119672,119016,10616,9528,2187264,2580480
svchost.exe,17129,35053568,31662080,258544,250560,19304,17536,6836224,7942144
taskhostw.exe,7821,20971520,20500480,196072,193216,33472,31216,6066176,6316032
Explorer.EXE,3632908,780230656,437145600,11211232,3844080,313008,299704,1807400960,1902534656
ShellHost.exe,20842,62808064,52031488,754912,749232,26232,25144,55668736,55975936
cmd.exe,2210,7299072,6160384,44800,44576,15576,8952,2838528,5144576
conhost.exe,2709,10014720,8896512,202632,169424,11696,10880,1835008,1953792
svchost.exe,24519,34291712,32718848,295464,261016,19456,17552,4980736,5689344
SearchHost.exe,249259,303263744,242876416,2255568,2159288,129952,110144,167301120,234749952
StartMenuExperienceHost.exe,56207,141033472,123625472,1162880,1136384,47912,42184,95240192,97263616
RuntimeBroker.exe,30347,65757184,58703872,761824,430664,43264,31528,13520896,16224256
svchost.exe,10666,29540352,22323200,244064,217456,16792,15240,3813376,5890048
RuntimeBroker.exe,22286,44285952,31895552,336880,257984,34816,18160,5296128,8171520
DllHost.exe,7870,18239488,16863232,171168,169216,35736,25576,6283264,6647808
backgroundTaskHost.exe,13140,50733056,1974272,484896,484576,29632,29632,18776064,18886656
PhoneExperienceHost.exe,60693,183664640,149614592,1354480,1329408,146448,102632,95641600,100155392
XGameHelper.exe,3835,14876672,13549568,128160,125936,10344,9120,1830912,2084864
Razer Synapse 3.exe,245283,194326528,150413312,1411256,1402568,237676,205288,152985600,153858048
Razer Central.exe,129815,176185344,132235264,1504528,1383776,146000,90424,102207488,108359680
CefSharp.BrowserSubprocess.exe,12905,41205760,34902016,719712,709824,99920,40704,19292160,20602880
CefSharp.BrowserSubprocess.exe,10581,36048896,31088640,726512,722672,39000,34544,18456576,18894848
EarTrumpet.exe,39754,78282752,69173248,1088216,855488,46304,45968,57602048,60989440
CefSharp.BrowserSubprocess.exe,9714,32870400,27295744,714920,713976,35000,31760,17833984,18702336
CefSharp.BrowserSubprocess.exe,11465,39436288,33132544,714920,714232,38024,34680,21512192,21954560
CefSharp.BrowserSubprocess.exe,508890,266735616,119554048,942936,862784,95728,63920,84684800,177623040
TextInputHost.exe,140857,228397056,126676992,1483960,1445472,175096,96680,134037504,172998656
voicemeeter8.exe,47277,126152704,69218304,356048,321416,160640,36768,81846272,82100224
ApplicationFrameHost.exe,24091,69009408,51486720,776888,721712,33576,29224,57167872,62246912
SystemSettings.exe,67298,242622464,2093056,1779136,1737584,137096,67600,158887936,220520448
DllHost.exe,1419849,70045696,24809472,2115312,138944,18504,12112,11804672,71004160
svchost.exe,5126,15687680,13996032,149752,149112,14008,13056,2953216,3342336
ShellExperienceHost.exe,64442,117850112,116260864,2059888,2020032,42184,39736,76251136,77987840
RuntimeBroker.exe,21052,36737024,33390592,417952,249888,23400,19320,6160384,7700480
svchost.exe,30719,21794816,21180416,211216,206048,14016,12928,2949120,3424256
terabox.exe,123605,31916032,16044032,438328,204656,109728,20648,3592192,5767168
TeraBoxUnite.exe,1754685,1637990400,712388608,2340664,2278112,13990072,4853990,1825599488,2073714688
TeraBoxUnite.exe,104419,93974528,89702400,914920,886552,63864,37704,126468096,129949696
TeraBoxUnite.exe,13628,46301184,40542208,500704,489920,128248,26536,16154624,17141760
TeraBoxUnite.exe,1086807,216186880,132288512,703696,695240,92832,67640,110141440,184713216
RuntimeBroker.exe,4035,11538432,9703424,115744,109088,9664,8712,1671168,2166784
bootstrapper.exe,538782,11395072,10063872,958784,175192,20616,10680,2502656,2977792
bootstrappercrashhandler.exe,3045,11964416,10526720,168696,168296,66016,12752,2785280,2793472
cod.exe,15606191,7059251200,5378289664,7309128,6521264,10968104,10657064,9762742272,12122886144
codCrashHandler.exe,4064,13598720,12431360,181880,173872,66016,13840,2805760,3391488
GameBarPresenceWriter.exe,6145,24285184,24285184,236480,227848,105176,18936,4403200,4403200
Spotify.exe,277542,374484992,369860608,1352296,1277512,391400,84760,254459904,259477504
Spotify.exe,6034,23683072,23515136,732664,732440,16512,16208,16068608,16195584
Spotify.exe,170739,189853696,142962688,1352480,1236976,59416,37888,237084672,308465664
Spotify.exe,26063,50860032,48193536,903096,791352,256712,32104,24117248,29847552
Spotify.exe,7741,27750400,27611136,716528,716304,33144,16768,17375232,18141184
Spotify.exe,529455,436318208,350248960,1017720,978808,125912,39736,292007936,362409984
smartscreen.exe,3359,13176832,13176832,157152,156736,11752,11616,2973696,2998272
chrome.exe,315561,366137344,339324928,1617528,1575328,872160,93768,180699136,197165056
chrome.exe,2611,9596928,9596928,136792,136792,12512,12384,2478080,2478080
chrome.exe,360615,370081792,313737216,1602712,1446328,100112,69552,443662336,665690112
chrome.exe,230150,81158144,69922816,1134624,766664,848160,142888,34586624,45907968
chrome.exe,27026,49664000,29458432,639920,638896,4070960,16192,16281600,40853504
chrome.exe,295866,317313024,242647040,853576,670480,834048,37744,207421440,291446784
chrome.exe,27599,84312064,84283392,888488,673384,31808,25432,42012672,42172416
chrome.exe,327324,399314944,198610944,867352,819984,161784,38312,124141568,341729280
chrome.exe,15823,55373824,55029760,682808,680456,23296,23296,21139456,22900736
chrome.exe,170078,349429760,344727552,926528,924976,44944,15376,285237248,290914304
chrome.exe,29985,94388224,87298048,760424,756048,41304,29672,50085888,54370304
sp24-cod.exe,549519,1089572864,563838976,1287896,275256,1066688,605000,551276544,1085046784
chrome.exe,24524,87379968,63475712,735888,715408,58568,26512,34934784,59076608
chrome.exe,27521,84164608,84164608,740024,739984,68976,27616,53170176,53485568
chrome.exe,14493,51900416,51900416,680528,664072,25928,25072,27406336,27406336
