process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
chrome.exe,22489,74002432,73834496,680528,664072,43800,25272,67506176,67899392
codCrashHandler.exe,3073,12083200,12066816,169520,169344,66016,13024,2670592,2768896
chrome.exe,20285,67235840,66789376,682520,676376,30272,29224,32636928,34115584
chrome.exe,76304,167473152,167473152,705232,700888,91288,34544,96149504,96149504
chrome.exe,335101,486506496,356257792,1212048,1123736,311272,54736,245977088,354045952
chrome.exe,277796,378396672,211169280,780656,747632,463448,39064,143831040,342884352
chrome.exe,502361,534323200,331575296,851696,711096,127848,47480,255815680,441647104
chrome.exe,8081,29937664,29728768,786656,784528,24336,22784,12275712,12468224
chrome.exe,6503,24440832,24424448,685920,684320,20992,19016,8572928,8740864
chrome.exe,10972,41324544,41324544,685208,684552,24656,24592,19992576,20152320
chrome.exe,11918,44777472,44347392,696912,680456,24504,24304,22904832,23351296
chrome.exe,10650,40439808,39960576,705104,688648,24552,24240,19144704,19628032
backgroundTaskHost.exe,5352,21348352,21348352,191880,173880,11976,11976,3325952,3325952
chrome.exe,403310,641519616,405950464,869144,778088,74344,48168,333475840,572862464
chrome.exe,11541,43802624,43610112,696912,680456,24576,24304,21975040,22134784
chrome.exe,411885,538275840,314740736,792184,752664,78776,54664,239140864,473309184
chrome.exe,12470,43503616,42770432,696912,680456,303120,24728,20336640,22401024
chrome.exe,40077,104804352,101793792,707416,685336,29664,27224,60260352,63918080
chrome.exe,9191,34725888,34725888,685080,684552,20856,20680,17575936,17575936
dxdiag.exe,2625,10428416,10428416,139152,138976,10072,10072,1642496,1642496
